,,,,,,,,CIRCULATION 2014,,,,,,,,,,,,,,,,,,, CIRCULATION 2014,,,,,,,,,
,,,,,,,,SUMMARY SHEET,,,,,,,,,,,,,,,,,,,SUMMARY SHEET,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, City Centre ,,, Cloverdale ,,, Fleetwood ,,, Guildford ,,, Newton ,,, Ocean Park ,,, Port Kells ,,, Semiahmoo ,,, Strawberry Hill ,,, Special Needs ,,, Collection Services ,,, Total ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Checkouts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalogued Print,,%,% of Total,,%,% of Total,,%,% of Total,,%,% of Total,,%,% of Total,,%,% of Total,,%,% of Total,,%,% of Total,,%,% of Total,,%,% of Total,,%,% of Total,,%,% of Total
Adult," 141,867 ",41.59%,23.64%," 84,435 ",42.12%,26.29%," 95,331 ",35.36%,21.33%," 206,968 ",44.53%,26.62%," 120,540 ",41.40%,23.49%," 98,648 ",55.25%,37.33%," 9,763 ",45.08%,27.89%," 157,861 ",48.16%,29.95%," 82,958 ",36.09%,21.35%," 13,974 ",95.05%,42.99%," 2,355 ",85.48%,57.64%," 1,014,700 ",43.32%,25.95%
Youth," 199,227 ",58.41%,0.00%," 116,031 ",57.88%,62.03%,174251,43.04%,25.96%," 257,845 ",55.47%,33.16%," 170,588 ",58.60%,33.24%," 79,902 ",44.75%,30.23%," 11,895 ",54.92%,33.98%," 169,901 ",51.84%,32.24%," 146,900 ",63.91%,37.80%, 728 ,4.95%,2.24%, 400 ,14.52%,9.79%," 1,153,417 ",49.24%,29.50%
Total," 341,094 ",,56.83%," 200,466 ",,62.42%," 269,582 ",,60.32%," 464,813 ",,59.78%," 291,128 ",,56.73%," 178,550 ",,67.56%," 21,658 ",,61.88%," 327,762 ",,62.19%," 229,858 ",,59.15%," 14,702 ",,45.23%," 2,755 ",,67.43%," 2,342,368 ",,59.90%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Catalogued Print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
