Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Monday-Friday,12:00 AM,36,27,,,63
16 Avenue East of 192 Street,Monday-Friday,1:00 AM,19,18,,,37
16 Avenue East of 192 Street,Monday-Friday,2:00 AM,12,12,,,24
16 Avenue East of 192 Street,Monday-Friday,3:00 AM,11,14,,,25
16 Avenue East of 192 Street,Monday-Friday,4:00 AM,24,58,,,82
16 Avenue East of 192 Street,Monday-Friday,5:00 AM,63,214,,,277
16 Avenue East of 192 Street,Monday-Friday,6:00 AM,202,473,,,675
16 Avenue East of 192 Street,Monday-Friday,7:00 AM,343,510,,,853
16 Avenue East of 192 Street,Monday-Friday,8:00 AM,357,518,,,875
16 Avenue East of 192 Street,Monday-Friday,9:00 AM,357,416,,,773
16 Avenue East of 192 Street,Monday-Friday,10:00 AM,364,364,,,728
16 Avenue East of 192 Street,Monday-Friday,11:00 AM,370,368,,,738
16 Avenue East of 192 Street,Monday-Friday,12:00 PM,378,378,,,756
16 Avenue East of 192 Street,Monday-Friday,1:00 PM,394,381,,,775
16 Avenue East of 192 Street,Monday-Friday,2:00 PM,453,393,,,846
16 Avenue East of 192 Street,Monday-Friday,3:00 PM,612,442,,,1054
16 Avenue East of 192 Street,Monday-Friday,4:00 PM,661,480,,,1141
16 Avenue East of 192 Street,Monday-Friday,5:00 PM,559,448,,,1007
16 Avenue East of 192 Street,Monday-Friday,6:00 PM,354,321,,,675
16 Avenue East of 192 Street,Monday-Friday,7:00 PM,242,226,,,468
16 Avenue East of 192 Street,Monday-Friday,8:00 PM,188,200,,,388
16 Avenue East of 192 Street,Monday-Friday,9:00 PM,160,157,,,317
16 Avenue East of 192 Street,Monday-Friday,10:00 PM,115,101,,,216
16 Avenue East of 192 Street,Monday-Friday,11:00 PM,77,60,,,137
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,20,17,,,37
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,15,7,,,22
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,7,7,,,14
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,5,12,,,17
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,8,44,,,52
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,27,200,,,227
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,71,350,,,421
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,136,373,,,509
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,170,310,,,480
